network_seed,rotation_seed,domain,in_hard_panel,baseline_mse,oracle_ratio,candidate_ratio,fixed_l08_q95_apply,fixed_l08_q95_policy_ratio,nested_family_apply,nested_family_policy_ratio
466926646,3,canonical,False,2.865596323207573e-07,0.2771850286300985,0.329829301801816,True,0.329829301801816,True,0.329829301801816
109088566,3,canonical,False,3.683771428662045e-07,0.2552644099657024,0.514845397480669,True,0.514845397480669,True,0.514845397480669
422494190,3,canonical,True,1.8765666309227317e-07,0.4210577279140173,0.8609235009646591,True,0.8609235009646591,True,0.8609235009646591
497920322,3,canonical,False,4.344936109208013e-07,0.0994180471209043,0.1840316119156022,True,0.1840316119156022,True,0.1840316119156022
511208051,3,canonical,False,2.7369272244126535e-07,0.1943126246522834,0.2827485805694082,True,0.2827485805694082,True,0.2827485805694082
1826466176,3,canonical,False,1.881069035954221e-07,0.2308359539245938,0.336966106757872,True,0.336966106757872,True,0.336966106757872
1628255301,3,canonical,False,1.2126505863347582e-07,0.2917652008638383,0.5366275863255069,True,0.5366275863255069,True,0.5366275863255069
1858848472,3,canonical,False,1.5618410845958182e-06,0.2098464271328892,0.2288515703215532,True,0.2288515703215532,True,0.2288515703215532
1222014226,3,canonical,False,1.9792372529477562e-07,0.2122013845632817,0.3626961738379123,True,0.3626961738379123,True,0.3626961738379123
1456209683,3,canonical,False,2.270340553998756e-07,0.1778057623903006,0.4640068453659096,True,0.4640068453659096,True,0.4640068453659096
306747001,3,canonical,False,3.5865783673553095e-07,0.2511868913670308,0.4938327855497837,True,0.4938327855497837,True,0.4938327855497837
1190593559,3,canonical,False,3.226708480441476e-07,0.1235188288146431,0.3005875884164078,True,0.3005875884164078,True,0.3005875884164078
1750399078,3,canonical,False,1.2256058625843511e-06,0.1022489243090767,0.2314830437476935,True,0.2314830437476935,True,0.2314830437476935
1347360544,3,canonical,False,1.4820493605387638e-07,0.3017187578246027,0.5736960904968091,True,0.5736960904968091,False,1.0
773242002,3,canonical,False,1.239700435374217e-07,0.4351567273981396,0.4820067923238484,True,0.4820067923238484,True,0.4820067923238484
348677245,3,canonical,False,1.9939422941218185e-07,0.3614926395365646,0.3651902444954528,True,0.3651902444954528,True,0.3651902444954528
542120900,3,canonical,False,4.415269269397438e-07,0.2673929853515616,0.3677005928606315,True,0.3677005928606315,True,0.3677005928606315
406259924,3,canonical,False,4.196931809406194e-07,0.3132253693101183,0.3948368082701007,True,0.3948368082701007,True,0.3948368082701007
1751847742,3,canonical,False,1.197554083285668e-07,0.3433007457117165,0.5496639465403009,True,0.5496639465403009,True,0.5496639465403009
1220543643,3,canonical,False,2.830523246037028e-07,0.1421237473145441,0.3409598831703813,True,0.3409598831703813,True,0.3409598831703813
680708219,3,canonical,True,1.0085250134691529e-07,0.5680297711326707,0.6617918748602993,True,0.6617918748602993,True,0.6617918748602993
490110054,3,canonical,False,6.951685550041309e-08,0.2437969639932693,0.4499708627472217,True,0.4499708627472217,True,0.4499708627472217
493891104,3,canonical,True,6.237625779672261e-07,0.653848596574402,0.9782614551908186,False,1.0,True,0.9782614551908186
205215497,3,canonical,True,1.396579372639604e-07,0.7499755398023552,1.1068704317906977,True,1.1068704317906977,True,1.1068704317906977
205215497,11,hard,True,1.1402952863424069e-07,0.8935244683348083,1.0156373385223372,True,1.0156373385223372,True,1.0156373385223372
205215497,97,hard,True,1.619155702318186e-07,0.6551516752177671,0.618675495199327,True,0.618675495199327,True,0.618675495199327
493891104,11,hard,True,4.014252621283064e-07,1.0125953647560972,1.155360641008924,False,1.0,True,1.155360641008924
493891104,97,hard,True,2.2254773611942906e-07,1.8013737793296662,3.082862359272763,False,1.0,True,3.082862359272763
422494190,11,hard,True,3.156752924135731e-07,0.2362378352715542,0.5405359509577697,True,0.5405359509577697,True,0.5405359509577697
422494190,97,hard,True,2.976037662977991e-07,0.2559292261450673,0.4312114849655456,True,0.4312114849655456,True,0.4312114849655456
680708219,11,hard,True,2.2519042454871657e-07,0.244605152454922,0.3836128432055861,True,0.3836128432055861,True,0.3836128432055861
680708219,97,hard,True,2.711308693089054e-07,0.2121504361298119,0.2736055744965632,True,0.2736055744965632,True,0.2736055744965632
