block_columns,sorted_seconds,max_rss_mib,scan_seconds,max_abs_vs_scan
4,0.566068752999854,300.72265625,0.6406703680004284,1.0904401548383902e-08
8,0.5351006820001203,300.625,0.6131099209997046,1.0904401548383902e-08
16,0.5533459070002209,301.01171875,0.6715819839992037,1.0904401548383902e-08
32,0.6552216379996025,300.671875,0.6322513509994678,1.0904401548383902e-08
64,0.8503222780000215,301.6796875,0.670238053000503,1.0904401548383902e-08
128,1.0747507109999788,398.9140625,0.613959934000377,1.0904401548383902e-08
256,1.3278109040002164,495.32421875,0.6785813059996144,1.0904401548383902e-08
