suite,network,chosen_depth,raw_mse_ratio,ideal_cost_ratio,ideal_score_ratio,calibrated_score_ratio,base_mse_obs,method_mse_obs,reference_noise
holdout_A,0,5,1.0094731476616712,0.937507152557373,0.9463882962474219,0.9782315352459218,2.043322178432441e-07,2.062678871149099e-07,7.886707904827457e-08
holdout_A,1,2,1.0018934008651237,0.9794073104858398,0.9812617211348222,0.9916759409334616,1.6432130945452176e-07,1.646324355640012e-07,3.809166749240768e-08
holdout_A,2,2,1.0062896998220345,0.9783296585083008,0.9844830583873115,0.9954903617159776,1.3725061401066033e-07,1.3811387917317732e-07,1.1641704879661031e-07
holdout_A,3,6,1.0094378054775452,0.9273161888122559,0.9360680186184446,0.9731027679417285,1.4488559655236663e-07,1.4625299862912596e-07,6.036076872262286e-08
holdout_A,4,6,0.9865929245283618,0.9407682418823242,0.9281552910620875,0.9576527613304091,1.5546691729523443e-07,1.533825606017143e-07,1.9307691673737317e-07
holdout_A,5,3,0.9935007688054616,0.9684901237487793,0.9621956825249088,0.9779975005834853,4.0137420833692495e-07,3.9876558456141845e-07,1.6272234867188105e-07
holdout_A,6,3,0.9889818138281614,0.972266674041748,0.9615540588184818,0.9753987226067878,1.8885337128714973e-07,1.8677254968312856e-07,7.932321550369407e-08
holdout_A,7,4,1.005965403270565,0.957399845123291,0.9631111212906278,0.9847426082895495,4.2709522251068637e-07,4.2964301774789427e-07,1.3430158466621765e-07
holdout_A,8,2,1.0009311931528808,0.9814372062683105,0.98235111387477,0.9917297506124373,2.933244270585659e-07,2.9359756875661557e-07,1.3248539417073202e-07
holdout_A,9,3,1.000498600303529,0.9748797416687012,0.9753658170038014,0.9880520516127326,1.8090502788771526e-07,1.8099522718953e-07,3.202727301274511e-08
holdout_A,10,4,0.9990738877692567,0.9563193321228027,0.9554336730928275,0.9774618740750602,6.848719063886841e-07,6.84237638139685e-07,1.5518110271278597e-07
holdout_A,11,4,0.9986254586951759,0.9507689476013184,0.9494620764114963,0.9742781978247617,3.084773180107829e-07,3.0805330319557575e-07,1.8203883440215678e-07
holdout_A,12,5,0.9977541050554941,0.9397802352905273,0.9376695876111418,0.9679983528566423,8.097991649498954e-07,8.079804410992693e-07,2.1128569218455786e-07
holdout_A,13,6,0.9987612454370999,0.9341959953308105,0.9330387557789515,0.9662133911921077,4.61468469437465e-07,4.6089682326531483e-07,2.136790998856757e-07
holdout_A,14,4,1.0052332998174938,0.947761058807373,0.9527209765834573,0.9792275375346369,3.2651738013528145e-07,3.2822614348115194e-07,1.4136535247942618e-07
holdout_A,15,5,1.0035569636584443,0.9329166412353516,0.9362349918245836,0.9702169952833676,9.668012864658592e-07,9.702401635067554e-07,2.5236239086703527e-07
holdout_A,16,4,1.012181188107247,0.9708437919616699,0.9826698228143081,0.9975662272145382,3.084531949240025e-07,3.122105213136531e-07,8.084125121582086e-08
holdout_A,17,2,1.0069300890441375,0.9778928756713867,0.9846697603754171,0.9959060706795911,2.1696459845253281e-07,2.1846818243923438e-07,1.0507074213065681e-07
holdout_A,18,5,0.9979801209573798,0.9430527687072754,0.9411479161836785,0.9698350167926193,9.189527873729476e-07,9.170966138965756e-07,1.0203294283111954e-07
holdout_A,19,3,0.995457496752318,0.9798855781555176,0.9754344447343893,0.9855414485014186,9.975527919673839e-08,9.930214051701377e-08,1.0149314898396e-07
holdout_B_rare1,0,6,0.9954505985075159,0.9242033958435059,0.9199988235350965,0.9580844946501923,2.13205287010979e-07,2.1223533056004574e-07,1.5412149821865223e-07
holdout_B_rare1,1,6,1.0114514164853559,0.9409937858581543,0.9517694976101478,0.9818950438233399,8.734736713354105e-07,8.834761821348651e-07,2.722182347532484e-07
holdout_B_rare1,2,4,1.0098265034946967,0.9608669281005859,0.9703088903275049,0.9902561323756793,3.0471574643005516e-07,3.0771003677723925e-07,1.0910491010281633e-07
holdout_B_rare1,3,3,0.9993178010231649,0.9669375419616699,0.9662778981598802,0.9829553967950779,2.932547840985204e-07,2.930547259848564e-07,1.4251282780463372e-07
holdout_B_rare1,4,5,0.9954181318708697,0.9340038299560547,0.9297243475750934,0.9628844934286476,5.540839998767811e-07,5.515452600568846e-07,6.330736147793745e-08
holdout_B_rare1,5,6,1.0003640743376139,0.9205007553100586,0.9208358860128212,0.9609792017403124,3.3972137775169096e-07,3.398450615872692e-07,2.063105929104052e-07
holdout_B_rare1,6,2,0.9950860303971306,0.9825711250305176,0.9777428003894605,0.9864971147099258,2.3720871656911182e-07,2.3604308014635556e-07,5.0002802345607056e-08
holdout_B_rare1,7,5,1.0171736517468135,0.9439082145690918,0.9601185655270579,0.9889181696450969,1.3868769263898283e-07,1.4106946677393385e-07,3.26331092011422e-08
holdout_B_rare1,8,4,0.9971319692173279,0.945948600769043,0.9432355910632118,0.9704407791906327,5.09975436162666e-07,5.085128109133449e-07,3.3086537086345526e-07
holdout_B_rare1,9,6,1.0227254771212613,0.9260082244873047,0.9470522032069907,0.9852496799867612,3.4699637531347017e-07,3.54882033501817e-07,1.1843033843853412e-07
holdout_B_rare1,10,3,0.995085980489785,0.974433422088623,0.969645037241074,0.9824868212518862,7.277337125337053e-07,7.241576148720735e-07,1.47494767655267e-07
holdout_B_rare1,11,3,0.997288557321787,0.9642791748046875,0.9616645870964101,0.9796464412584045,3.472601986952507e-07,3.463186225720637e-07,6.903428003578083e-08
holdout_B_rare1,12,2,1.001671754373573,0.9772396087646484,0.9788733133546295,0.9903812457644605,8.42365623494319e-08,8.437738519095432e-08,1.1602979904400765e-07
