target_improvement_percent,delta_below_positive_certificate_lower,beta_original_positive_lower,beta_original_positive_upper,beta_integer_positive_lower,beta_integer_positive_upper,integer_negative_nodes_at_upper,delta_kerdock_relative_lower,beta_original_kerdock_lower,beta_original_kerdock_upper,beta_integer_kerdock_lower,beta_integer_kerdock_upper,kerdock_integer_negative_nodes_at_upper
0.01,2.4330918534409412569619860981799086871385687210893196646684269395071104120856063E-11,7.1469479642342247144669512706929244593519977322882111899060130514883194012763761E-10,7.1469479642342247144669512706929244593519977322882111899060130514883194012763762E-10,8.2932651740280558411281113399190567721794406994103332345964021959511393968439600E-10,8.2932651740280558411281113399190567721794406994103332345964021959511393968439601E-10,1,0,0,0,0,0,0
0.1,2.4330918534409412569619860981799086871385687210893196646684269395071104120856063E-10,7.1469479182632466884467687016346670559828281532966240143003315795501737860806443E-9,7.1469479182632466884467687016346670559828281532966240143003315795501737860806444E-9,7.2616770542917907483986880179968223584570943746611195358299845973104133687720496E-9,7.2616770542917907483986880179968223584570943746611195358299845973104133687720497E-9,1,1.8651562554790345801290620128138602489292047207652551270913580198908433975444533E-10,5.4786976581742069609585151401947235295961418685850782771656634505848455446208801E-9,5.4786976581742069609585151401947235295961418685850782771656634505848455446208802E-9,5.5934015249482077579271441834080072040578385951723153314434883856535650325397456E-9,5.5934015249482077579271441834080072040578385951723153314434883856535650325397457E-9,1
1,2.4330918534409412569619860981799086871385687210893196646684269395071104120856063E-9,7.1469474585535314815662982244054722483700316386519150745124668007320346203062226E-8,7.1469474585535314815662982244054722483700316386519150745124668007320346203062227E-8,7.1585180147549466674918431220617423666208445097149446259418192160462854912351350E-8,7.1585180147549466674918431220617423666208445097149446259418192160462854912351351E-8,1,2.3768099473366081628614260536841741572259290453815294852688975871127055728067533E-9,6.9816253819772216841472423927647782678777289207026538053420048761446316479269351E-8,6.9816253819772216841472423927647782678777289207026538053420048761446316479269352E-8,6.9931934233834241083460842003518090686907416108001765394122104674165117789172968E-8,6.9931934233834241083460842003518090686907416108001765394122104674165117789172969E-8,1
5,1.2165459267204706284809930490899543435692843605446598323342134697535552060428031E-8,3.5734727077003363494897110114207755958971146154487666881091209490898980832057374E-7,3.5734727077003363494897110114207755958971146154487666881091209490898980832057375E-7,3.5746736605880160980999870820224950173280545192469984978955058897525302374018590E-7,3.5746736605880160980999870820224950173280545192469984978955058897525302374018591E-7,1,1.2111451377508629073299292064363232523150411593403769363312283298773244386372566E-8,3.5576084771003932547004470487199428172232479787494062483141409791804576763229321E-7,3.5576084771003932547004470487199428172232479787494062483141409791804576763229322E-7,3.5588091841337202348041329119416643469038826912395372543920391021479041600137080E-7,3.5588091841337202348041329119416643469038826912395372543920391021479041600137081E-7,1
10,2.4330918534409412569619860981799086871385687210893196646684269395071104120856063E-8,7.1469428614628847332854440440491175296762327389978504706065101192436221920680879E-7,7.1469428614628847332854440440491175296762327389978504706065101192436221920680880E-7,7.1481998351707113222716034360150784944822988029605835225541818269188984714015207E-7,7.1481998351707113222716034360150784944822988029605835225541818269188984714015208E-7,1,2.4279753165223655211346624577712055480556014778431569210866515438348917903329833E-8,7.1319136011107716995706553772565267082635684723241446829094109479566195935687103E-7,7.1319136011107716995706553772565267082635684723241446829094109479566195935687104E-7,7.1331703365328346255181337032865771502686735437619858429934808826252397029384324E-7,7.1331703365328346255181337032865771502686735437619858429934808826252397029384325E-7,1
