network_id,rotation_index,action,beta,baseline_mse,candidate_mse,ratio,baseline_unbiased_mse,candidate_unbiased_mse,corrected_ratio,inner,norm_sq,cosine,reference_noise_mse,absolute_ratio,severe,literal_rotation_id,rotation_seed,companion_seed,reduced_ratio,c17_ratio,p2_ratio,p4_ratio,oracle_ratio,runtime_seconds,peak_rss_kb,reference_noise_fraction_record,vectors_file,vectors_sha256,weight_sha256,feature_cos_c17_p2,feature_cos_c17_p4,feature_cos_p2_p4,feature_norm_p2_c17,feature_norm_p4_c17,feature_min_nested_cos,feature_max_loo_angle_sin,feature_cos_p32_p128,feature_norm_p32_p128,geometry_c17_cos_ideal,geometry_p2_cos_ideal,geometry_p4_cos_ideal,geometry_oracle_cos_ideal
6000,0,absolute,0.5,1.132336772829624e-06,7.355220377910182e-07,0.6495612042634669,1.0724823988378234e-06,6.756676637992087e-07,0.6300034989211796,-2.630043307790912e-07,1.2919392651957658e-07,0.6876287800362375,5.985437399182738e-08,0.6495612042634669,False,3,3.0,601011.0,0.8910955895007143,0.6495612042634669,0.8393407896977545,0.7371624672906704,0.04084777524206261,21.783103149999988,1414156.0,0.05285916295225124,network_6000_rotation_0.npz,37bc30baba075ea17ffb380a725d9a1ae2404a31fd51465d1a631702114f957d,c319441874280e0bc3773331a9317aed991a05d92dc282c69f881f0695ce721d,0.23812297890394368,0.6179773698862047,0.7405720881960848,0.26344579347513436,0.5074453266085344,0.7790247938084023,0.3806728582693783,0.9174198831157708,0.8008130607430262,0.6390938354225661,0.446002850390997,0.7021949084821684,0.9769938044617996
6000,1,zero,0.5,5.197173710166373e-07,6.285875057747601e-07,1.209479499492499,4.5986299702482e-07,5.687331317829473e-07,1.2367447162795997,3.5575686313474466e-08,3.7718762131173863e-08,-0.2540919785026248,5.985437399182738e-08,0.8575988404222754,False,11,11.0,601011.0,1.2094794994924993,0.8575988404222754,0.998292404633364,0.8227599064413159,0.08691581766096548,20.530825735999997,1417972.0,0.11516716071033792,network_6000_rotation_1.npz,07dfe6b7d748e52ea9e0b6ce0c84a515ad627cdcb97b8a68b61fe97e9be67eb0,c319441874280e0bc3773331a9317aed991a05d92dc282c69f881f0695ce721d,0.4370694394928021,0.6882061732257342,0.753229358474352,0.23692340043841426,0.3908716839382831,0.9189682756628517,0.2275208928031059,0.9273497551965324,0.7425394739563322,0.5408893558491327,0.7028645079591754,0.8173109569827528,0.9636162178333263
6000,2,absolute,0.5,1.556171887820884e-06,1.5851149893946391e-06,1.0185989104418822,1.496317513829082e-06,1.5252606154028398e-06,1.0193428876600477,-5.774421762468982e-09,4.049194509869338e-08,0.0230035783791947,5.985437399182738e-08,1.0185989104418822,False,97,97.0,601011.0,1.0167158204889033,1.0185989104418822,1.0869859510192028,1.099771809540079,0.023634153581184765,17.97715545899996,1417972.0,0.038462572457623426,network_6000_rotation_2.npz,73782d68f13695c477b7a09a5ed60078fca7255708610615c59c60367bbb895b,c319441874280e0bc3773331a9317aed991a05d92dc282c69f881f0695ce721d,0.2673982904916655,0.47263280648898304,0.7996772715712767,0.41568297727241377,0.5842820023460477,0.8305714741878717,0.6560565942379464,0.954373581018261,0.6915104997240284,0.07992541531760589,-0.4515369348467179,-0.3596585563889787,0.9883445635790401
6001,0,zero,0.5,1.491036349867389e-07,2.68351776107153e-07,1.799766827488947,1.1362427628436425e-07,2.328724174047773e-07,2.0494952753052007,2.7523798065835623e-08,6.420054498874282e-08,-0.2813162955772196,3.54793587023702e-08,2.297434595353974,True,3,3.0,601111.0,1.7997668274889467,2.297434595353974,2.3308110179752806,2.184804298094637,0.24687418101767822,21.822797348999984,1414096.0,0.2379509976770566,network_6001_rotation_0.npz,6130ca85d61292ce190a1f4f24a1f5fbd7f3d5eeafefaace5aa5c9258790bcc0,a1d16905c87c3b1e383e38240c228292d2a92f7c461172109354de7b2eed6dba,-0.05730195653773924,0.4802003216112538,0.6754819394334327,0.30640739228846486,0.32013889127234013,0.7752442709426607,0.2301105194144415,0.9595068041493988,0.9269561230355587,0.07993735619259067,-0.6932311266590424,-0.44818591640065897,0.9359389587960976
6001,1,absolute,0.5,1.9085887939817083e-07,2.2737388007750258e-07,1.191319370597131,1.5537952069580888e-07,1.918945213751345e-07,1.2350052343822846,-3.853753727012987e-08,1.135900752195915e-07,0.2617324553578572,3.54793587023702e-08,1.191319370597131,True,11,11.0,601111.0,1.2347383158755698,1.191319370597131,1.3014834508853521,1.4364949608487088,0.10507073121563235,20.535247134999963,1418284.0,0.18589315212499483,network_6001_rotation_1.npz,a1fd1813208ea77b46773fe6adfdb3a7d3b8e99b11e41e3b0388eaae2c935888,a1d16905c87c3b1e383e38240c228292d2a92f7c461172109354de7b2eed6dba,0.5979706895775795,0.465665285837364,0.857531084779314,0.3125082275114215,0.46498839097333367,0.6980919686069827,0.3563748854028086,0.8923554852731087,0.7347091806536987,0.29497314213691384,-0.08380434256151183,-0.21465013817035172,0.9591561223815355
6001,2,zero,0.5,4.442695350158722e-07,3.952983087308905e-07,0.889771360795126,4.087901763135202e-07,3.598189500285372e-07,0.8802044933500928,-4.134022636705719e-08,3.3709226449132563e-08,0.3378120914837024,3.54793587023702e-08,0.6283372660075759,False,97,97.0,601111.0,0.889771360795126,0.6283372660075759,0.8513317873630672,0.7401687318151913,0.09785833530380987,19.23331459899987,1418284.0,0.07985998567536855,network_6001_rotation_2.npz,8251025f401eb17fb161155fbe1648e1c30f9865123ecc33992ffce28ce05329,a1d16905c87c3b1e383e38240c228292d2a92f7c461172109354de7b2eed6dba,0.6661311125569755,0.660384861554405,0.7704509604655141,0.12208392071035774,0.23520567217830235,0.9110364178128648,0.17823920651762876,0.97242441581323,0.8011627810532822,0.6010214651104588,0.258118396296314,0.5165109193808609,0.9466779306197506
6002,0,absolute,0.5,3.741007035130992e-07,3.614827345080719e-07,0.9662711968019982,3.1603384785417014e-07,3.0341587884914855e-07,0.9600739949511864,-1.3388387166778764e-07,2.55149774330548e-07,0.433347610424299,5.80668556589144e-08,0.9662711968019982,False,3,3.0,601211.0,1.2633812371610142,0.9662711968019982,1.1002725108759541,1.2226645314879288,0.12567190722407173,19.269427933000088,1414468.0,0.15521717845922514,network_6002_rotation_0.npz,c05e8f5890bbd6afee4b5405e17a8b15bc766076936523fbd407e9c4418f7430,3d0dbc3ab4d7758960454a940dbf1fa2b7505f34cfb4d0d54cb9d9a20966eb5a,0.5830466610662342,0.5450504317243917,0.6381490815721765,0.3358388428271315,0.5282087703975861,0.7885484336243261,0.33613836286586746,0.9535368640277665,0.8403881938602253,0.4851874729960124,0.4880159230288086,0.18901458459905585,0.9490074333336385
6002,1,absolute,0.5,4.440613202102732e-07,3.6625433495762203e-07,0.8247832411618112,3.85994464551356e-07,3.081874792987054e-07,0.7984246086453954,-9.101411511990785e-08,1.042212449871646e-07,0.4230669989066756,5.80668556589144e-08,0.8247832411618112,False,11,11.0,601211.0,1.1027248775634673,0.8247832411618112,1.1969063060159428,1.184672154475256,0.19930091480455245,16.413551906000066,1418444.0,0.13076314692623625,network_6002_rotation_1.npz,ea6af6abbc571467a001cf9625460a885f63b6bcaae61fd767dcaa9ad0b8762f,3d0dbc3ab4d7758960454a940dbf1fa2b7505f34cfb4d0d54cb9d9a20966eb5a,-0.01975051040605122,0.16724006187267265,0.9218647732087798,0.4446927014715889,0.6232579999192268,0.7856086387126585,0.43608979962339944,0.9476623109608145,0.734771038132094,0.5070890790518704,-0.12349296984806118,-0.0010231333199747044,0.9092162142808483
6002,2,zero,0.5,2.634482402203398e-07,3.265192222627545e-07,1.239405592497654,2.053813845614292e-07,2.6845236660384e-07,1.3070920092251417,-3.366206930582012e-08,1.30395120654055e-07,0.1816195053779176,5.80668556589144e-08,1.0736156221185322,False,97,97.0,601211.0,1.239405592497654,1.0736156221185322,1.203169727955984,1.1126333219822067,0.2324011215066983,19.840013075000115,1418444.0,0.22041086936222884,network_6002_rotation_2.npz,57333e71a760a68697e159d6e888952ad5511e324df949915315a21d4a94acd2,3d0dbc3ab4d7758960454a940dbf1fa2b7505f34cfb4d0d54cb9d9a20966eb5a,0.23221084794435803,0.21530392245465468,0.7455105113172672,0.3204176224172623,0.3701420013538997,0.5849891371706467,0.6451400242903083,0.9396537260930282,0.7681181368308189,0.3974730160245549,0.1710964980327454,0.3521727552892623,0.926603063738069
6003,0,zero,0.5,2.332439577428062e-07,1.8041505132201854e-07,0.7735036442871497,1.910724470388873e-07,1.3824354061809908e-07,0.7235137392151763,-4.663811295241031e-08,4.044731948403301e-08,0.4801654375185939,4.2171510703924975e-08,0.370219196897096,False,3,3.0,601311.0,0.7735036442871497,0.370219196897096,0.7198600374519062,0.608329140151511,0.1101010016012267,17.184549033000167,1414072.0,0.18080430083606588,network_6003_rotation_0.npz,b80a614acf7ab880b40b69ed32ee77b193ec23ee923150dfc31e9d0a55490f12,e35dc4c0db2f3b5134be4ca3f5b634b70871e3907c9c040a0743520e47690335,0.6498338885997333,0.6761462454536351,0.6759297757493572,0.1592072844516614,0.31218796122889114,0.8804625013677552,0.2574198961201273,0.9319138275362437,0.8258178751027705,0.7222823940769036,0.3531962024176749,0.5776245817843427,0.9278987695150577
6003,1,absolute,0.5,2.4804058810111144e-07,6.153169803935398e-07,2.4807108590740463,2.0586907739719042e-07,5.731454696896319e-07,2.784028941771777,3.5965399373196724e-08,2.9534559354603493e-07,-0.1328795850282766,4.2171510703924975e-08,2.4807108590740463,True,11,11.0,601311.0,1.5745741976311496,2.4807108590740463,1.2050984691185962,0.9865906904397233,0.12927043231789492,15.848096966999947,1418280.0,0.17001858859782312,network_6003_rotation_1.npz,dd61ae2230002dd0b6a3e7041290ccdb742fe35e6c5ec57be32c94ddb5afdf21,e35dc4c0db2f3b5134be4ca3f5b634b70871e3907c9c040a0743520e47690335,-0.3043715825948267,-0.3120657930959364,0.9421899220376805,0.3407522231343931,0.567016268862139,0.9496233528158984,0.26607203384268624,0.9514755108115796,0.8483900556020707,-0.3742534543678456,0.8103823816640039,0.8318839796449627,0.9609095986156897
6003,2,zero,0.5,4.249354167023474e-07,4.913489113507669e-07,1.1562907962904392,3.827639059984325e-07,4.491774006468522e-07,1.173510337854823,1.4562489155464072e-08,3.728851633749133e-08,-0.1156875432460372,4.2171510703924975e-08,2.79587841673876,True,97,97.0,601311.0,1.1562907962904392,2.7958784167387596,1.0703444341640298,1.1359289694649601,0.08229868001843667,13.384205469000108,1418280.0,0.09924216491812132,network_6003_rotation_2.npz,328cb264817d48083798eea2899c6a75d284b1cdcace943dc3d0c5fb416df48d,e35dc4c0db2f3b5134be4ca3f5b634b70871e3907c9c040a0743520e47690335,-0.7197814233313308,0.35230847784654434,0.12172208865114925,0.09610333288954473,0.11824105291295747,0.985854754920806,0.13861910134038122,0.9883329559950879,0.9414378877706633,-0.3951076946321362,0.4912237728090693,0.13745082517770849,0.9642302493798073
6004,0,absolute,0.5,1.663623263234451e-07,3.4168821444775217e-07,2.053879757508529,1.1888333971077775e-07,2.942092278350888e-07,2.474772567382849,3.0834904965659045e-08,1.1365607819298897e-07,-0.2242429451959781,4.7478986612667216e-08,2.053879757508529,True,3,3.0,601411.0,1.5521135409041615,2.053879757508529,1.6428841915851105,1.8346837685787527,0.17502044090809687,18.60051581699986,1413868.0,0.2853950630646843,network_6004_rotation_0.npz,515c8dfa10262a0736b1d8c27b92a09d6c2260c218b1cc6986f32b70d41a5fa3,976e9eaacedcebcd263e0358d6838e3f70b92f3f3011e60c46ea7770510ccab7,0.64886890398012,0.6157087630323638,0.9401452286630526,0.5897624958647824,0.9186962111317037,0.8840374181114439,0.37331923477857387,0.8578093944617515,0.7012321474275337,-0.1163214938496644,0.02998614174202967,-0.000375039134922535,0.9425476053857188
6004,1,absolute,0.5,1.715387988821514e-07,1.3053880084565413e-07,0.7609870285691774,1.2405981226948662e-07,8.305981423298997e-08,0.6695142666552228,-3.946725103423649e-08,3.7934504031975715e-08,0.4892586250297026,4.7478986612667216e-08,0.7609870285691774,False,11,11.0,601411.0,0.9385413333181198,0.7609870285691774,0.9892921477231826,0.8751741718406402,0.1442769228998652,12.338999452000053,1417992.0,0.27678278571418513,network_6004_rotation_1.npz,cb02402a919921ea5975af1a17f103eba2f155714a1f98e567f2f9b1b8aee872,976e9eaacedcebcd263e0358d6838e3f70b92f3f3011e60c46ea7770510ccab7,-0.35223522308078525,0.6744604751477062,-0.2189780748133056,0.41332770978442135,0.45845858897967123,0.7601412602752092,0.711771907970775,0.9123451452918229,0.737670124687604,0.4378912346919953,-0.08890605099234522,0.27892391785349474,0.9222790146961406
6004,2,absolute,0.5,3.171769667766205e-07,3.146839287235e-07,0.9921399145768478,2.696979801639482e-07,2.6720494211082774e-07,0.9907561856725624,-1.4780380879683357e-08,2.706772370624616e-08,0.1595177214277237,4.7478986612667216e-08,0.9921399145768478,False,97,97.0,601411.0,1.006472213251534,0.9921399145768478,1.0586387581060088,1.022548853887968,0.11546663336655554,15.071452510999961,1417992.0,0.14969241649285786,network_6004_rotation_2.npz,40a235e991e7332be5f0634e4d5cef3766c29754057baacb00281133bb1701e0,976e9eaacedcebcd263e0358d6838e3f70b92f3f3011e60c46ea7770510ccab7,-0.27637412285381685,-0.21719013478368399,0.8954280145437912,0.5383726833806306,0.6619179958850544,0.640925188822714,0.3932865808143501,0.8829245804218067,0.5657201563287099,0.19908641658893556,-0.037804703709636074,0.08496898542329948,0.9417302037720646
6005,0,zero,0.5,2.509084855619767e-07,3.6657291211222e-07,1.4609825223375044,2.233994625133592e-07,3.3906388906360026e-07,1.5177471120519117,3.690799441925503e-08,4.1848437711733326e-08,-0.3601829468480677,2.7509023048611465e-08,0.8781198408189377,False,3,3.0,601511.0,1.4609825223375044,0.8781198408189377,1.4427069472838157,1.3880760126563119,0.15190067765391801,18.837370354000086,1414036.0,0.10963767521452153,network_6005_rotation_0.npz,65cee00570e712821c0dcac6fa3b43109425498d28a1cdbccda1ff847d25999f,d33ba58369637a007183cdce40d1276a60edfd766fd9cdc06ccaf02d65f57102,0.25416454555008267,0.3984966107565896,0.8705317774694094,0.20935191975573794,0.3660030954290259,0.8660691320022862,0.3133697018386664,0.8865505687296522,0.7501071169464362,0.690450632033566,0.11567062186515935,0.24095511673618292,0.9497776852755092
6005,1,absolute,0.5,3.824210965041102e-07,7.942443163623024e-07,2.0768841562948817,3.5491207345550493e-07,7.667352933137002e-07,2.1603528047062204,1.2641314300515065e-07,1.589969338478909e-07,-0.5126570492146817,2.7509023048611465e-08,2.0768841562948817,True,11,11.0,601511.0,1.3585727741115958,2.0768841562948817,1.2499265714061727,0.9585544487121356,0.09041799334208528,9.88163388099997,1461416.0,0.07193385328394351,network_6005_rotation_1.npz,59247ce3780d117095fbdb2c6c600ae7d90b7bb5f116e7c24725716ce7d0c101,d33ba58369637a007183cdce40d1276a60edfd766fd9cdc06ccaf02d65f57102,0.15959568373749786,-0.26894548922571915,0.6835351752652059,0.32753844146710304,0.5677954584784539,0.5488787451629505,0.3827069630750928,0.8465474375414583,0.5246293865721874,-0.4651557357617871,0.3718901344306596,0.7644129718829009,0.9678099024237845
6005,2,absolute,0.5,1.5758713800816782e-07,1.9136296856750245e-07,1.21433113759312,1.300781149595573e-07,1.6385394551889465e-07,1.2596580567748743,-1.182174174796867e-08,5.741931405527197e-08,0.124277378475869,2.7509023048611465e-08,1.21433113759312,True,97,97.0,601511.0,1.110531110003396,1.21433113759312,1.1797057433865532,1.0621132057098461,0.17104060677040545,18.661538479,1461420.0,0.17456388507535214,network_6005_rotation_2.npz,a6a1dbd0a67008ac553caa64e2e1e772c1f38dfe99e0d33f994b49ad584a4fc7,d33ba58369637a007183cdce40d1276a60edfd766fd9cdc06ccaf02d65f57102,0.41878267856949847,0.018622380290602685,0.4050558789115221,0.4130575769966033,0.4855793188121326,0.6219945677370035,0.5770260731860771,0.7662532451143466,0.7402476027656645,0.05483147219304397,-0.130857655007246,0.2115736636146468,0.9208646870566131
6006,0,zero,0.5,8.278680110079444e-07,7.055226217573212e-07,0.8522163103008831,7.732751401516048e-07,6.5092975090099e-07,0.8417828494698171,-1.01079125404819e-07,7.981286155901481e-08,0.3932280445751195,5.459287085629892e-08,1.6000326920311212,True,3,3.0,601611.0,0.8522163103008831,1.6000326920311212,0.7229912647632473,0.9682395558037146,0.07904635992444856,7.33636862000003,1414144.0,0.06594393083244164,network_6006_rotation_0.npz,8be7618a5d51f8cb4e65551460d2b1b1fd3bd3947f10b6af39cc73e251df7664,b8dc41e8b6f660bdd9ff26abfb3660bd0fac85b2236964855739d166d5826357,-0.19123659233005436,0.7672908920824065,0.19697708086413993,0.19411463404942272,0.2792009378866861,0.9214557331056727,0.36733227110935524,0.9693947015210684,0.8188385665202543,-0.27511396607383953,0.6250731994342003,-0.24981523540807696,0.9552268308434271
