network_id,rotation_index,split,order,c2_rel17,c4_rel17,c8_rel17,c12_rel17,cos12_17,late_rel,jack_cv,probe_late_rel_weighted,c17_ratio
5000,0,development,natural,2.0658392142377666,1.4798428611507413,0.7484962409953292,0.4640845179296036,0.9336206920049503,0.4640845179296036,0.1884484516340484,0.5057810010977877,0.8208323633863418
5000,0,development,reverse,2.185803346831698,1.4356186120166878,0.8336113321634081,0.5130417257102754,0.8950203925760173,0.5130417257102754,0.1884484516340484,0.5277353479611472,0.8208323633863418
5000,0,development,endpoint_interleave,2.7914746439427374,1.4978861360000844,1.0174983034638838,0.5510380789550942,0.8418835550703732,0.5510380789550942,0.1884484516340484,0.5982848789309428,0.8208323633863418
5000,0,development,geometry_maximin,2.0658392142377666,1.4798428611507413,0.7484962409953292,0.4640845179296036,0.9336206920049503,0.4640845179296036,0.1884484516340484,0.5057810010977877,0.8208323633863418
5000,0,development,bit_reversal,2.7914746439427374,1.8925387125124173,1.0179256011144997,0.39564096618244615,0.9509089977309305,0.39564096618244615,0.1884484516340484,0.41484843212562394,0.8208323633863418
5000,1,development,natural,2.9820273510253315,3.00043555307048,1.426586426219061,0.7520249712463134,0.7697941361678042,0.7520249712463134,0.1717329716262829,0.6711252900629362,1.120474922438662
5000,1,development,reverse,3.385581001276395,2.3291792099647015,1.3054661986497185,1.1094544910928232,0.5559621383329829,1.1094544910928232,0.1717329716262829,0.7424778066368306,1.120474922438662
5000,1,development,endpoint_interleave,2.783132742959545,1.992610850918403,1.865817405859059,0.7929386061430672,0.8591403680979522,0.7929386061430672,0.1717329716262829,0.7254962326748443,1.120474922438662
5000,1,development,geometry_maximin,2.9820273510253315,3.00043555307048,1.426586426219061,0.7520249712463134,0.7697941361678042,0.7520249712463134,0.1717329716262829,0.6711252900629362,1.120474922438662
5000,1,development,bit_reversal,2.783132742959545,1.709525880660827,1.1866533458042268,0.8172639708109337,0.84553361233935,0.8172639708109337,0.1717329716262829,0.7489114267134207,1.120474922438662
5000,2,development,natural,2.0225561213881975,1.4594806415898318,0.7178684482576447,0.5700181107078363,0.8933071647698345,0.5700181107078363,0.25017903602967784,0.5481468184398748,1.1389341262192763
