basis_count,residual_scenario,added_control_flops_B,required_partial_raw_gain_to_tie,required_partial_mse_reduction_fraction
32,zero_partial_residual,0.0,1.0245683946884905,0.023979262698182513
32,zero_partial_residual,1.0,1.0487715043855352,0.046503460650477835
32,zero_partial_residual,2.0,1.0729746140825798,0.06801150104094023
32,zero_partial_residual,5.0,1.1455839431737138,0.12708273718501117
32,zero_partial_residual,10.0,1.2665994916589371,0.2104844454893604
32,zero_partial_residual,14.0,1.3634119304471157,0.2665459516170867
32,row_scaled_residual,0.0,1.0521887570516932,0.04960018504467756
32,row_scaled_residual,1.0,1.076391866748738,0.070970312121998
32,row_scaled_residual,2.0,1.1005949764457825,0.09140054116060015
32,row_scaled_residual,5.0,1.1732043055369166,0.1476335406539867
32,row_scaled_residual,10.0,1.2942198540221397,0.22733375099120257
32,row_scaled_residual,14.0,1.3910322928103185,0.2811094284664747
32,constant_residual,0.0,1.135737743291193,0.11951504129628199
32,constant_residual,1.0,1.1599408529882378,0.13788707637652253
32,constant_residual,2.0,1.1841439626852823,0.15550808726643273
32,constant_residual,5.0,1.2567532917764164,0.20429888145627728
32,constant_residual,10.0,1.3777688402616397,0.2741888401176942
32,constant_residual,14.0,1.4745812790498183,0.3218413835794973
64,zero_partial_residual,0.0,1.0830582039212295,0.0766885875759179
64,zero_partial_residual,1.0,1.095864756596433,0.08747863823467816
64,zero_partial_residual,2.0,1.1086713092716365,0.09801941149088655
64,zero_partial_residual,5.0,1.1470909672972471,0.12822955762943533
64,zero_partial_residual,10.0,1.2111237306732645,0.17432053003857884
64,zero_partial_residual,14.0,1.2623499413740786,0.20782663568590853
64,row_scaled_residual,0.0,1.1122553372778943,0.10092586973115825
64,row_scaled_residual,1.0,1.1250618899530977,0.11116000912475255
64,row_scaled_residual,2.0,1.1378684426283012,0.12116378085839719
64,row_scaled_residual,5.0,1.1762881006539117,0.14986813226786122
64,row_scaled_residual,10.0,1.240320864029929,0.1937570115922278
64,row_scaled_residual,14.0,1.2915470747307431,0.22573476448121244
64,constant_residual,0.0,1.1418810633210865,0.12425205030411368
64,constant_residual,1.0,1.15468761599629,0.13396490431987707
64,constant_residual,2.0,1.1674941686714935,0.1434646726005383
64,constant_residual,5.0,1.205913826697104,0.17075335081038456
64,constant_residual,10.0,1.2699465900731213,0.21256530958327802
64,constant_residual,14.0,1.3211728007739354,0.2430967399463524
96,zero_partial_residual,0.0,1.0005543840381377,0.0005540768667668949
96,zero_partial_residual,1.0,1.0084446215592662,0.008373907082977916
96,zero_partial_residual,2.0,1.0163348590803947,0.01607231999813019
96,zero_partial_residual,5.0,1.0400055716437802,0.038466689731814996
96,zero_partial_residual,10.0,1.0794567592494224,0.07360809830369774
96,zero_partial_residual,14.0,1.1110177093339362,0.09992433820023638
96,row_scaled_residual,0.0,1.0275273755870586,0.02678991941341846
96,row_scaled_residual,1.0,1.0354176131081874,0.03420611418987585
96,row_scaled_residual,2.0,1.0433078506293159,0.04151013586564389
96,row_scaled_residual,5.0,1.0669785631927011,0.06277404767372485
96,row_scaled_residual,10.0,1.1064297507983436,0.09619205441786904
96,row_scaled_residual,14.0,1.1379907008828574,0.12125819725574527
96,constant_residual,0.0,1.0367957008161863,0.03548982773290821
96,constant_residual,1.0,1.0446859383373146,0.04277451882661998
96,constant_residual,2.0,1.052576175858443,0.049949996080391856
96,constant_residual,5.0,1.0762468884218286,0.07084516502866212
96,constant_residual,10.0,1.1156980760274708,0.10370016630253842
96,constant_residual,14.0,1.1472590261119848,0.1283572608803435
