seed,baseline_mse,baseline_unbiased_mse,p128_b129_a05_companion_ratio,p128_b129_a05_primary_ratio,p128_b129_a02_companion_ratio,p128_b129_a02_primary_ratio,p128_b16_a01_companion_ratio,p128_b16_a01_primary_ratio,p128_b129_pair_increment_over_full,p128_b129_full_primary_cosine,p128_b16_pair_increment_over_full,p128_b16_full_primary_cosine,runtime_seconds
1480560809,3.3854016919278453e-07,3.1758457837115226e-07,1.0976755709283554,1.0975558283183913,1.0117830853786804,1.0117313201207394,0.8116564940337314,0.8100401592668899,0.0005737897773626541,0.9999998377329207,0.007783695159863172,0.9999947462734179,9.874330520629883
1653303402,6.302517610409859e-07,5.851297958020833e-07,0.11676748606847236,0.11701891152204169,0.44726522748792086,0.44928535854852597,0.3733039033932176,0.37900785379123125,0.004911879763157645,0.9999997316516887,0.019090078133293602,0.9999953472808765,7.866484880447388
778592701,6.907695081732895e-08,5.290378719543717e-08,0.8755101211548936,0.8748246917686942,0.8298343628195827,0.829759520040424,0.8332195373381436,0.833067769662635,0.0011314329697462461,0.9999996981963986,0.00219865011346862,0.9999984756615927,8.025214910507202
1062818124,2.1130312816723528e-07,1.847167703185413e-07,0.8431365245598066,0.8404894978191677,0.8245783863522854,0.8247699266952786,0.8345139727292035,0.8345764533810438,0.005793575516956974,0.9999987564882928,0.00258951328543547,0.9999967133437241,9.814269065856934
133545391,3.1299034143421166e-07,2.863516374759184e-07,0.4875890151373922,0.48751772548919187,0.653775628720304,0.6514644152692012,0.9807703959548114,0.9807359107512371,0.008693372945249326,0.9999952512490784,0.0024944722798979093,0.9999973016877229,8.572484016418457
1656187424,2.6385655214762886e-07,2.418574260064675e-07,1.0077542297511364,1.0079198906800328,0.9330776753423579,0.9330817073043834,1.0236670172721625,1.0239320785987573,0.0016510022993781444,0.9999987277444448,0.00412709566403913,0.9999936506920487,8.505876541137695
1561639435,1.8565990313195548e-07,1.7309556787479064e-07,0.9946978053484052,0.9969113883646425,0.8750741607380921,0.8754963782181568,0.9230418087852594,0.923624401730694,0.0023686294290028126,0.9999989422505525,0.0030192253304767488,0.9999957192351238,9.16905951499939
284154272,1.842493697118006e-07,1.773462072471318e-07,0.46698433886372037,0.46686511085945914,0.6399459995074098,0.6398807333604145,0.8380233477188855,0.8382768085871493,0.001467757998589631,0.9999989246561259,0.004435301898786172,0.9999961017780833,8.492473840713501
1851697502,2.41925265944261e-07,1.8169913408047657e-07,1.1771469825280632,1.1771318001762265,0.9635148475467559,0.9636155939784709,1.1782372873275366,1.174712754830218,0.0011156332082593208,0.9999995039750375,0.007860051616623948,0.9999987652269132,7.7759926319122314
1619732411,1.3739486371995326e-07,1.2370642959800415e-07,0.5332167561410172,0.5337702641784047,0.7043380753157041,0.7049398061562456,0.6843789810881444,0.6872430262984114,0.002047792094928301,0.9999993469532847,0.01459738781738978,0.999990209540026,8.663421869277954
107818250,2.2304543435883993e-07,2.1289009130303925e-07,0.888343002880409,0.8880905022380162,0.9227413858083313,0.9226002742462854,0.9207652699675986,0.9202489524936769,0.0010703712367758533,0.9999996042255914,0.003343994642479004,0.9999979546131534,8.55460786819458
270821346,4.710007179327854e-07,3.8943544219514735e-07,0.8213787192452809,0.8201607831756599,0.7975750551917261,0.7975781327358743,0.857702617395957,0.8576477246974772,0.0020793732355059375,0.9999995923863494,0.0018010486268291263,0.9999984952170696,8.557127237319946
1607112575,1.3351208032693255e-07,1.205146502969826e-07,0.868528570445517,0.8680114105000709,0.8715376104422278,0.8714103112590122,0.8667363121793029,0.8660058033115413,0.001052402427478944,0.9999995966425813,0.0032766317782840244,0.9999952920806493,8.989102363586426
619136844,2.346917648089121e-07,2.0204420935115368e-07,0.3138960799755162,0.31437507104287366,0.5976838602504355,0.5987227912689969,0.6956994796883051,0.6970611971863264,0.00350289614498265,0.9999994549559286,0.006032176099321782,0.9999965052407168,7.772046089172363
682625697,3.0190335854772054e-07,2.7997457488426254e-07,0.7497361984361282,0.7504115215308317,0.8173798134365144,0.8173808376794968,0.9389771044959138,0.9396619964942371,0.001822634159698626,0.9999996754465934,0.004656807767141761,0.9999977943652422,7.601226806640625
1574668485,6.597852310926062e-07,5.981664539660832e-07,0.8170284041504671,0.8173622119035338,0.9137713849806779,0.9139226856753763,0.8719347547587663,0.8725364116722661,0.0011467659860962538,0.9999995615460949,0.004191729126491122,0.9999987972995998,9.198348760604858
649909256,1.1235536717212534e-07,1.0525054031306745e-07,0.8269359858518089,0.8249773339680812,0.6928762250720439,0.6931169448681499,0.8270089051345685,0.8274405463239689,0.002486075537462904,0.9999992570598228,0.0074170531536549055,0.9999969424547737,7.995652198791504
1853454975,2.635037162438316e-07,2.509869824527187e-07,0.6007729405315133,0.6013911176054189,0.7839108742250367,0.7842692677127676,0.6503091843464225,0.6534607288447384,0.0016211393233743275,0.9999991524791308,0.009453285924040758,0.9999890484329794,7.41939115524292
607386986,3.1099251353795816e-07,2.7298739870609545e-07,0.7680976925501715,0.7679378185908405,0.8314081619680396,0.831105789617619,0.8582888830661531,0.8579476177335201,0.0018945573089511625,0.9999994331058741,0.0023215287651334963,0.9999973982179955,9.337945461273193
1470033448,2.5347812371415755e-07,2.427709872618679e-07,0.6429706324927981,0.6428657422126693,0.8128180530710101,0.8127811229434351,1.220096364865978,1.2221495278041172,0.0009969633808236367,0.9999995045978275,0.009436555733747526,0.9999938686425889,8.58094048500061
541619572,1.196269022579792e-07,1.0358154955794657e-07,1.2307521866744389,1.2354150798251724,0.8209638599653472,0.8210044985169195,0.9464165939197611,0.9462875553755677,0.0034421974382048445,0.9999997304363512,0.001560551220283385,0.9999992983892506,8.627112865447998
284083364,2.700218771333282e-07,2.537445335873942e-07,0.6857531859070516,0.6849350633799475,0.7655784929504551,0.7659707257451004,0.9964030895899165,0.9963630591157708,0.003558524941201021,0.9999990987415394,0.004678851349568376,0.9999979119082234,8.94829273223877
1138436373,2.2827482984644922e-07,1.927081401738806e-07,0.9037429162954286,0.9035642370126452,0.8834502692087645,0.8833116105392242,0.6562894282353157,0.6550385200303914,0.0013199891967587258,0.9999992233286364,0.005507040830611979,0.9999968372415131,8.633043050765991
254919146,1.566637784400429e-07,1.3758067411909286e-07,0.7734010596717589,0.7738550355355379,0.8273685507310518,0.8274039503986648,1.0499491548495539,1.0520375011095464,0.0012376323495521763,0.9999996220839275,0.008829635925898128,0.9999910894401418,8.4582040309906
