network_id,statistic,predicted_scale,oracle_scale,base_mse,candidate_mse,sample_mse,oracle_mse,candidate_ratio,sample_ratio,oracle_ratio,base_cross_mse,candidate_cross_mse,candidate_cross_ratio
3400,5.0552291555928705e-05,-9.188763080391383e-05,-4.584854028299553e-06,1.9190366817133103e-07,2.0629884096109098e-07,1.9209537862013674e-07,5.086141421435797e-08,1.0750124941692516,1.0009989931439693,0.26503617517591715,-3.775581188424395e-08,-2.336063909448401e-08,
3401,0.0004500799541878806,9.588122541257637e-05,-0.0004772615246666028,6.209862559010733e-07,6.798882740361017e-07,6.192038356053225e-07,9.469753532452936e-08,1.0948523700408788,0.997129694451668,0.15249538041243738,1.8192195614118692e-07,2.408239742762151e-07,1.323776301576898
3402,0.0005200582755799028,0.0001287694346573875,0.001030013913486354,6.093748970313882e-07,5.5235456827786e-07,6.108938337112099e-07,1.0344658655262475e-07,0.9064281626445285,1.002492614459869,0.16975852969423572,4.858647151948365e-07,4.288443864413082e-07,0.8826415523286917
3403,6.49869113406111e-05,-8.510368991472801e-05,-2.3316363967450042e-05,1.4061249912494443e-07,1.4612683260507915e-07,1.4055309471105745e-07,7.972988101148707e-08,1.039216524238253,0.9995775310569355,0.5670184479165061,2.4698061124160842e-08,3.021239460429553e-08,1.2232698936330797
3404,0.00021766764300974696,-1.3347240904536912e-05,-0.0004779917452988673,3.993094632275941e-07,3.911966162194756e-07,3.9970801893353114e-07,6.71471255961706e-08,0.9796828080593362,1.000998112348041,0.16815811239088718,1.7041488604269755e-07,1.6230203903457912e-07,0.9523935543630516
3405,4.974454835612616e-05,-9.226725161851381e-05,0.0001913532198897381,3.2632502877846574e-07,5.160189185338646e-07,3.264778064393953e-07,5.8898090877079606e-08,1.581303525707118,1.00046817635013,0.18048903909563158,2.2664723655304127e-07,4.163411263084401e-07,1.836956552571977
3406,0.000511193031637435,0.0001246029729305789,-0.0004691397456965702,3.9726469009469237e-07,4.4314846629952254e-07,3.9655744261145316e-07,1.1280840388245862e-07,1.1154992561606552,0.9982197071603051,0.2839628255296727,3.038299592901501e-07,3.4971373549498024e-07,1.1510179454061418
3407,0.00015233386111158893,-4.405262290111675e-05,0.0003102622852352973,3.7021336310601957e-07,3.8022679539032414e-07,3.704696963445557e-07,1.5245529618765243e-07,1.027047733232247,1.0006923932631322,0.41180387144478403,2.532193041294898e-07,2.6323273641379437e-07,1.0395445059717248
3408,0.0008256155466951839,0.00027237435785090833,0.0017402047232336145,6.296365563196305e-07,5.130277082019018e-07,6.303577925748473e-07,5.0710145131529505e-08,0.8147997492405236,1.0011454802742594,0.08053875624366838,4.0211664731570074e-07,2.8550779919797185e-07,0.7100123834809068
3409,0.00014696983885243063,-4.657359058001759e-05,0.00012258723890870677,1.886323956647131e-07,2.012133583107577e-07,1.8855853052653712e-07,1.1492556770525952e-07,1.066695662755653,0.9996084175365759,0.6092567891123821,4.0852383644729524e-08,5.343334629077414e-08,1.3079615318277205
3410,1.2976562653953152e-05,-0.00010954736327636717,5.933558505924191e-06,8.960879662924771e-08,2.160263644692516e-07,8.94841864100709e-08,3.602429080506098e-08,2.410771850480827,0.9986093974714071,0.402017348297956,5.976172499307398e-08,1.8617929283307788e-07,3.1153600879936936
3411,0.0011120503921483458,0.0004069921786971038,-0.002488266253822994,1.0716693388364e-06,1.3959363626149491e-06,1.0700560782115605e-06,9.484894127194202e-08,1.3025812272754138,0.9984946283649478,0.08850578983152338,7.358592455505145e-07,1.0601262693290635e-06,1.4406644691077528
3412,0.00020029334401150447,-2.1512763734600895e-05,0.0001882271034414343,2.5481420544725843e-07,2.602872300454934e-07,2.5501920232124337e-07,6.045883114344864e-08,1.0214784909209773,1.000804495470043,0.23726632915668602,2.0573074765258869e-07,2.1120377225082375e-07,1.0266028518375736
3413,0.00016731568902226429,-3.7011506718352535e-05,0.0007011137817429421,5.752356003972607e-07,6.131844832903254e-07,5.770625131288752e-07,9.100422730011146e-08,1.0659710262488222,1.003175938224882,0.15820339915899412,3.51034325966827e-07,3.8898320885989167e-07,1.1081059032860816
3414,0.0010580294535613697,0.00038160357410488066,0.002018429558671214,7.4818839660053e-07,6.1117017994599e-07,7.473635504622942e-07,1.21026218444213e-07,0.8168666912276424,0.99889754219394,0.16175901550212207,6.487215210833246e-07,5.117033044287846e-07,0.7887873113478213
3415,0.00013421658501591973,-5.256732796016541e-05,-9.499479187192789e-05,2.534251295968956e-07,2.4769007740843365e-07,2.530648686613678e-07,1.3353461558031965e-07,0.9773698362211187,0.9985784324699731,0.5269193934821033,1.4947726353420114e-07,1.4374221134573917e-07,0.9616326118577241
3416,8.312053695390453e-05,-7.658130095663775e-05,4.98283911357386e-05,1.1133813272420722e-07,1.275006741329728e-07,1.115562743386062e-07,3.0990835585059354e-08,1.1451662697523532,1.001959271357095,0.27834879952429187,4.4593238569433255e-08,6.075577997819884e-08,1.3624437678730137
3417,0.00187416959594777,0.0007651707595125879,0.006743403200412651,3.908527552761239e-06,3.189964873123112e-06,3.911313567604914e-06,1.6850333829601776e-07,0.8161551453998355,1.0007128041969942,0.04311171816531676,3.541340864338047e-06,2.8227781846999206e-06,0.7970930483212773
3418,0.00048096919139930833,0.00011039845984480807,0.00010435248963959419,2.875663551760971e-07,2.8426736008228353e-07,2.8743389091319146e-07,8.609177346756385e-08,0.9885278822281093,0.9995393610534706,0.2993805496294718,2.072506316796141e-07,2.0395163658580055e-07,0.984082098727142
3419,0.0002063003113215087,-1.8689626598866716e-05,0.0005306776039416351,6.784009359309343e-07,6.941748505605181e-07,6.793383945706389e-07,9.483637636185964e-08,1.0232516109488237,1.001381865192179,0.1397939939922409,4.364065442741781e-07,4.5218045890376196e-07,1.0361450001988826
