base_network_id,examples,baseline_mse,candidate_mse,candidate_over_baseline,mean_predicted_residual,mean_true_residual,mean_confidence
test-1043066332,2,1.7896101667247422e-07,2.0725917693198426e-07,1.1581246852874756,-0.10839582979679108,-0.4155310094356537,0.48710455000400543
test-1080238362,2,2.953391060600552e-07,2.739430158271716e-07,0.9275541305541992,-0.10839268565177917,0.4323155879974365,0.4871067702770233
test-1127817186,2,1.1952140255289123e-07,1.221407899265614e-07,1.0219156742095947,-0.10840331017971039,-0.2764104902744293,0.4871053695678711
test-1164582624,2,1.2513623914855998e-07,1.3362830486585153e-07,1.0678625106811523,-0.10839207470417023,-0.6392706632614136,0.4870924651622772
test-1331143592,2,4.3732472931878874e-07,4.40009927160645e-07,1.006140112876892,-0.10840041935443878,-0.19840553402900696,0.4871005713939667
test-1510773911,2,3.956947125516308e-07,3.031967708011507e-07,0.7662391066551208,-0.10840240120887756,0.4511983096599579,0.4871113449335098
test-1622677188,2,7.719114591964171e-07,7.895713451944175e-07,1.0228781700134277,-0.10839612782001495,-0.7905682325363159,0.4870976656675339
test-1624239597,2,4.026992712624633e-07,4.457149316294817e-07,1.1068183183670044,-0.10840623080730438,-0.5778871774673462,0.48711560666561127
test-1714698224,2,3.9632314496884646e-07,4.304069705085567e-07,1.0860000848770142,-0.10839921236038208,-0.2599300742149353,0.48712125420570374
test-1983717493,2,4.789597483068064e-07,5.778537115475046e-07,1.2064765691757202,-0.10838152468204498,-0.39330118894577026,0.4870911091566086
test-30851785,2,1.6110874412333942e-07,1.4760372835098678e-07,0.9161745309829712,-0.10840021073818207,-0.15007010102272034,0.4871154874563217
test-48137593,2,3.4592630981933326e-07,3.4960640959980083e-07,1.0106383562088013,-0.10839356482028961,-0.7409713864326477,0.48710931837558746
test-48934432,2,2.71733313184086e-07,3.2312601661033113e-07,1.1891292333602905,-0.10839304327964783,-0.41471564769744873,0.48710519075393677
test-635105936,2,1.4375098089658422e-07,1.8588173134048702e-07,1.293081521987915,-0.10840821266174316,-0.15707172453403473,0.48711107671260834
test-708014894,2,1.3767161988198495e-07,1.446954769335207e-07,1.0510189533233643,-0.10840081423521042,-0.2112770676612854,0.48711560666561127
test-995860371,2,1.5889747828623513e-07,1.6312944239871285e-07,1.0266332626342773,-0.10840488970279694,-0.29609936475753784,0.48710954189300537
