case_id,base_id,variant,split,orientation,orientation_seed,mse,mse_nc,ratio,ratio_nc,correction_norm,error_correction_ip,correction_cosine,oracle_scale,oracle_scale_mse,p1_p2_cos,c1_c2_cos,c2_p2_cos,p2_norm,c2_norm,nested_rel,first_layer_relerr,p2_common_cos,p2_consensus_cos
1363462:0,1363462,0,development,0,1005,1.1024189569002137e-07,9.434658621170339e-08,0.6138068168256059,0.5763092578176675,0.0038920627990079535,2.1067596874079123e-05,0.7285013367427399,1.3907700238129939,1.0120618752787472e-07,0.866132768224934,0.5983434647209634,0.7063635964003622,0.001280083983238734,0.007056273959382413,1.1930934098717987,0.011716311476013454,0.5042125482029306,0.9264556988552388
1363462:0,1363462,0,development,1,1007,1.3888892738294843e-07,1.2299361790463046e-07,0.7733082769998745,0.7512975667383992,0.0038697870232663675,1.7314326204394372e-05,0.6021625247681529,1.1561960133012905,1.3746176282368501e-07,0.5931225830159167,0.9318976187448813,0.3345056042023587,0.0008444408165585712,0.010569602176543761,0.8586314478710791,0.01133925721241653,0.5619261389832905,0.6708081488744942
1363462:0,1363462,0,development,2,1011,9.931909832128578e-08,8.342378884296782e-08,0.5529906684659441,0.5095881447638927,0.005008361751374369,2.743348223788099e-05,0.737191705382202,1.0936782046723543,9.845923676384532e-08,0.5313701740869898,0.9207337256526604,0.37280846715117577,0.000726046896959074,0.012198138817578653,0.7008163888049727,0.011262092187166377,0.48647303292154026,0.48098940533345247
1363462:0,1363462,0,development,3,1013,2.3038539306141333e-07,2.1449008358309536e-07,1.2827439502289164,1.310197070635391,0.0030233567719517265,2.685495880083457e-06,0.11954468821921775,0.2937958737439828,2.1257804142522073e-07,0.6534071426100556,0.6433828703594404,0.4963230698886022,0.001113398967551079,0.008842276789103421,0.9614773271832171,0.012103868445590887,0.4176458885127358,0.79405894470608
1363462:0,1363462,0,development,4,1019,1.103097373908798e-07,9.441442791256183e-08,0.6141845470722722,0.5767236639116313,0.005339669275631625,2.7740870707220553e-05,0.6991991985660345,0.9729518999943902,1.1022825527848716e-07,0.6247218331324143,0.20121282125108983,0.6860444455639029,0.001259594285167217,0.006830376963191186,1.3791329140649187,0.012013225685593645,0.4412181301714903,0.9143805468786369
1363462:0,1363462,0,development,5,1021,8.292964475735449e-08,6.703433527903652e-08,0.46173717306275935,0.4094743600608411,0.0046777655377325715,2.793023379074901e-05,0.8035840600291642,1.2764319635907297,7.639813692307727e-08,0.6945546515932074,0.6019407076120884,-0.22587637563998333,0.0007842809003278208,0.005567358948832411,1.4698275871208972,0.011606696086162977,0.4538042997061172,0.8837845986505654
1363462:0,1363462,0,development,6,1031,2.859976482269301e-07,2.7010233874861214e-07,1.5923828684095385,1.6499004853205748,0.002676272744589389,-5.421997964640516e-06,-0.27266172092623014,-0.7570047555668783,1.9962690613076378e-07,0.8441168919697096,0.31926389244924025,0.24895895629415266,0.0009948812180526508,0.005301968447586152,2.131694587985941,0.011466599487261253,0.4059356001156459,0.8993596283311923
1363462:0,1363462,0,development,7,1033,2.450817801508326e-07,2.2918647067251463e-07,1.3645707595533672,1.399968881955616,0.0019875349447618495,-1.7908371742902863e-06,-0.12126529294245907,-0.45334262460762953,2.1248868511150025e-07,0.807518350728067,0.8934274707778577,0.5049283689248647,0.0010105109226200728,0.0121696238747357,0.7180251441945208,0.012458695808275327,0.24449549390983408,0.5589136762032404
1363462:1,1363462,1,development,0,1005,1.439158566345245e-07,1.280205471562065e-07,1.525808490615888,1.632379226061483,0.0031638806200877767,5.56492656841331e-06,0.2854722015160133,0.5559289127817943,1.3620495421956278e-07,0.7749962510697749,0.9508431130346308,0.9031610126993208,0.0011298565470587373,0.01078453947109578,0.4198646237100388,0.0131061132956903,0.44546070955101674,0.5382640709314755
1363462:1,1363462,1,development,1,1007,1.4269963866073825e-07,1.2680432918242028e-07,1.51291404135756,1.6168713330015603,0.0023946182456583277,3.58263045119369e-06,0.24282321237701002,0.6247833370687645,1.3954610956373573e-07,0.8811252570722764,0.9644678724516151,0.9379273739305541,0.0013675423403397904,0.013889803508302422,0.6348867875847837,0.011295226123361413,0.4669787003967797,0.6625300937388142
1363462:1,1363462,1,development,2,1011,1.4698759276533156e-07,1.3109228328701358e-07,1.5583753055515026,1.6715466750316372,0.004707291553866777,1.1245970941138916e-05,0.3877486850041521,0.5075218696769678,1.2599451429186494e-07,-0.01948768577175247,0.4604641348861564,0.8316907266282307,0.0009205568399677584,0.010695147810240604,1.0533402065611286,0.011630395203383107,0.29043830466128245,0.6437663210295136
1363462:1,1363462,1,development,3,1013,1.1184969026574507e-07,9.59543807874271e-08,1.1858401921174442,1.2235062365095928,0.003873115631637963,1.216483792255223e-05,0.5097653810531779,0.8109337974601745,1.0975505330107014e-07,0.6061970664991879,0.24149374252777037,0.7730912092901499,0.0007738545528377082,0.009484509376129123,1.4984763233084215,0.011939118318633531,0.261885733095078,0.22512212437114032
1363462:1,1363462,1,development,4,1019,1.4477972556762935e-07,1.2888441608931137e-07,1.534967304548796,1.6433943461477893,0.002928462132695306,4.737226287206967e-06,0.26254816813421117,0.5523888519623182,1.3806789401101908e-07,0.5157544778641611,0.7451396868932408,0.7889097056400934,0.0008200169979254251,0.00979358491086325,0.8665568922757008,0.011828282402884258,0.44958162964508985,0.5707331867257293
1363462:1,1363462,1,development,5,1021,1.4401332907406094e-07,1.2811801959574297e-07,1.5268419019391688,1.633622088937383,0.0027851886359391534,4.4260176759511734e-06,0.2579188026857412,0.5705634072544403,1.384251880130402e-07,0.5668646871518229,0.665154379763299,0.8943661637489914,0.0010281601274024373,0.009029158541294616,1.0698675387207042,0.011052409464910847,0.5270557296933222,0.8834023765501414
