k,subset,split,selector,mean_within_case_reward_spearman,pooled_ratio,wins,median,p90,worst,oracle_identity_accuracy_full8,mean_regret_to_oracle8
1,[2],development,p2_consensus,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,p2_common,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,first_layer,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,p1_p2,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,c1_c2,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,c2_p2,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,nested_rel,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,p2_norm_high,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,p2_norm_low,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,c2_norm_high,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,c2_norm_low,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,phase_combo,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,c17_p2_self_consistency,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],development,oracle_true_error_p2_direction,1.0,0.902835984786879,11,0.8787162872248595,1.9928629360263965,2.492277028277549,0.2222222222222222,0.37833999895627857
1,[2],calibration,p2_consensus,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,p2_common,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,first_layer,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,p1_p2,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,c1_c2,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,c2_p2,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,nested_rel,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,p2_norm_high,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,p2_norm_low,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,c2_norm_high,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,c2_norm_low,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,phase_combo,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,c17_p2_self_consistency,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],calibration,oracle_true_error_p2_direction,1.0,1.0907276284689615,5,0.727930707063453,2.587180712649321,3.1119371489521694,0.1111111111111111,0.7266828575375116
1,[2],test,p2_consensus,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,p2_common,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,first_layer,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,p1_p2,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,c1_c2,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,c2_p2,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,nested_rel,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,p2_norm_high,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,p2_norm_low,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,c2_norm_high,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,c2_norm_low,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,phase_combo,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
1,[2],test,c17_p2_self_consistency,1.0,1.1794753415857746,4,1.3030545373967488,1.9276216495029879,2.306821617147198,0.2222222222222222,0.6952914076580539
