case,floor_fraction_of_kerdock,same_cost_raw_gain_cap,status
v18 T47,0.505177125470747,1.97950372172563150,certified
D47,0.791012289100087585,1.26420286230656650,certified
D63,0.840790613668210800,1.18935675986817775,certified
L72,0.858464243593152,1.16487088130128969,numerical discovery
L88,0.8812643465246887,1.13473329988164330,numerical discovery
L100,0.8935652886788313,1.11911240585289104,numerical discovery
L112,0.9030876177641664,1.10731226996087708,numerical discovery
L120,0.9078890732875755,1.10145614637576787,numerical discovery
L123 / D123,0.909436093131522650,1.09958248584200407,certified
