method,candidate_over_base,gain,row_wins,network_wins,worst_network_ratio,median_network_ratio,alpha_mean,alpha_max,active_rows
rf_oob_shrink,0.9784269007838442,1.022048759287866,18,10,1.0821278511924104,0.9863668914603145,0.12892074870169248,0.5,33
rf_oob_prob_gate,0.9900075695497739,1.0100932869177661,14,9,1.0619180220417237,0.9913982392866563,0.10333156630917895,0.5,24
rf_oob_constant_gate,0.9843380247282658,1.0159111757122843,14,9,1.0470829215517323,0.9896481884702626,0.10947231460514086,0.24177392572812229,26
oracle_clip_0_2,0.8595064609565034,1.1634583862082293,26,15,1.0,0.9108670507703063,0.4313047184806161,2.0,26
original,1.145173500571044,0.8732301258292714,17,6,1.953860889589848,1.2357496937149555,1.0,1.0,48
